,vehicle_id
2015-09-12 19-00-00,329
2015-09-12 20-00-00,295
2015-09-12 21-00-00,253
2015-09-12 22-00-00,214
2015-09-12 23-00-00,183
2015-09-13 00-00-00,109
2015-09-13 01-00-00,43
2015-09-13 02-00-00,29
2015-09-13 03-00-00,38
2015-09-13 04-00-00,65
2015-09-13 05-00-00,100
2015-09-13 06-00-00,161
2015-09-13 07-00-00,201
2015-09-13 08-00-00,230
2015-09-13 09-00-00,267
2015-09-13 10-00-00,304
2015-09-13 11-00-00,341
2015-09-13 12-00-00,370
2015-09-13 13-00-00,393
2015-09-13 14-00-00,399
2015-09-13 15-00-00,395
2015-09-13 16-00-00,392
2015-09-13 17-00-00,374
2015-09-13 18-00-00,329
2015-09-13 19-00-00,289
2015-09-13 20-00-00,237
2015-09-13 21-00-00,206
2015-09-13 22-00-00,176
2015-09-13 23-00-00,143
2015-09-14 00-00-00,97
2015-09-14 01-00-00,34
2015-09-14 02-00-00,30
2015-09-14 03-00-00,54
2015-09-14 04-00-00,147
2015-09-14 05-00-00,302
2015-09-14 06-00-00,505
2015-09-14 07-00-00,589
2015-09-14 08-00-00,570
2015-09-14 09-00-00,504
2015-09-14 10-00-00,475
2015-09-14 11-00-00,465
2015-09-14 12-00-00,478
2015-09-14 13-00-00,523
2015-09-14 14-00-00,572
2015-09-14 15-00-00,601
2015-09-14 16-00-00,610
2015-09-14 17-00-00,575
2015-09-14 18-00-00,480
2015-09-14 19-00-00,387
2015-09-14 20-00-00,305
2015-09-14 21-00-00,254
2015-09-14 22-00-00,207
2015-09-14 23-00-00,164
2015-09-15 00-00-00,103
2015-09-15 01-00-00,37
2015-09-15 02-00-00,29
2015-09-15 03-00-00,54
2015-09-15 04-00-00,152
2015-09-15 05-00-00,301
2015-09-15 06-00-00,516
2015-09-15 07-00-00,607
2015-09-15 08-00-00,580
2015-09-15 09-00-00,517
2015-09-15 10-00-00,478
2015-09-15 11-00-00,469
2015-09-15 12-00-00,496
2015-09-15 13-00-00,533
2015-09-15 14-00-00,579
2015-09-15 15-00-00,606
2015-09-15 16-00-00,608
2015-09-15 17-00-00,567
2015-09-15 18-00-00,488
2015-09-15 19-00-00,393
2015-09-15 20-00-00,305
2015-09-15 21-00-00,245
2015-09-15 22-00-00,203
2015-09-15 23-00-00,167
2015-09-16 00-00-00,107
2015-09-16 01-00-00,34
2015-09-16 02-00-00,28
2015-09-16 03-00-00,53
2015-09-16 04-00-00,139
2015-09-16 05-00-00,311
2015-09-16 06-00-00,511
2015-09-16 07-00-00,606
2015-09-16 08-00-00,595
2015-09-16 09-00-00,516
2015-09-16 10-00-00,467
2015-09-16 11-00-00,462
2015-09-16 12-00-00,474
